scenario,chemistry,year,value
LFP,ASSB (sulfidic),2035,0
LFP,LSB,2035,0
LFP,LAB,2035,0
LFP,NCA,2036,0.053779904
LFP,NMC532,2036,0.037703349
LFP,NMC622,2036,0.053014354
LFP,NMC811,2036,0.133397129
LFP,NMC900,2036,0.094736842
LFP,NMC900-Si,2036,0.094736842
LFP,LFP,2036,0.532631579
LFP,SIB,2036,0
LFP,ASSB (polymer),2036,0
LFP,ASSB (oxidic),2036,0
LFP,ASSB (sulfidic),2036,0
LFP,LSB,2036,0
LFP,LAB,2036,0
LFP,NCA,2037,0.043365231
LFP,NMC532,2037,0.028883573
LFP,NMC622,2037,0.045215311
LFP,NMC811,2037,0.130956938
LFP,NMC900,2037,0.101052632
LFP,NMC900-Si,2037,0.101052632
LFP,LFP,2037,0.549473684
LFP,SIB,2037,0
LFP,ASSB (polymer),2037,0
LFP,ASSB (oxidic),2037,0
LFP,ASSB (sulfidic),2037,0
LFP,LSB,2037,0
LFP,LAB,2037,0
LFP,NCA,2038,0.032950558
LFP,NMC532,2038,0.020063796
LFP,NMC622,2038,0.037416268
LFP,NMC811,2038,0.128516746
LFP,NMC900,2038,0.107368421
LFP,NMC900-Si,2038,0.107368421
LFP,LFP,2038,0.566315789
LFP,SIB,2038,0
LFP,ASSB (polymer),2038,0
LFP,ASSB (oxidic),2038,0
LFP,ASSB (sulfidic),2038,0
LFP,LSB,2038,0
LFP,LAB,2038,0
LFP,NCA,2039,0.022535885
LFP,NMC532,2039,0.011244019
LFP,NMC622,2039,0.029617225
LFP,NMC811,2039,0.126076555
LFP,NMC900,2039,0.113684211
LFP,NMC900-Si,2039,0.113684211
LFP,LFP,2039,0.583157895
LFP,SIB,2039,0
LFP,ASSB (polymer),2039,0
LFP,ASSB (oxidic),2039,0
LFP,ASSB (sulfidic),2039,0
LFP,LSB,2039,0
LFP,LAB,2039,0
LFP,NCA,2040,0.012121212
LFP,NMC532,2040,0.002424242
LFP,NMC622,2040,0.021818182
LFP,NMC811,2040,0.123636364
LFP,NMC900,2040,0.12
LFP,NMC900-Si,2040,0.12
LFP,LFP,2040,0.6
LFP,SIB,2040,0
LFP,ASSB (polymer),2040,0
LFP,ASSB (oxidic),2040,0
LFP,ASSB (sulfidic),2040,0
LFP,LSB,2040,0
LFP,LAB,2040,0
NCX,NCA,2010,0.1
NCX,NMC111,2010,0.3
NCX,NMC532,2010,0.38
NCX,NMC622,2010,0
NCX,NMC811,2010,0
NCX,NMC900,2010,0
NCX,NMC900-Si,2010,0
NCX,LFP,2010,0.22
NCX,SIB,2010,0
NCX,ASSB (polymer),2010,0
NCX,ASSB (oxidic),2010,0
NCX,ASSB (sulfidic),2010,0
NCX,LSB,2010,0
NCX,LAB,2010,0
NCX,NCA,2015,0.2
NCX,NMC111,2015,0.2
NCX,NMC532,2015,0.25
NCX,NMC622,2015,0.11
NCX,NMC811,2015,0.03
NCX,NMC900,2015,0
NCX,NMC900-Si,2015,0
NCX,LFP,2015,0.21
NCX,SIB,2015,0
NCX,ASSB (polymer),2015,0
NCX,ASSB (oxidic),2015,0
NCX,ASSB (sulfidic),2015,0
NCX,LSB,2015,0
NCX,LAB,2015,0
NCX,NCA,2021,0.21
NCX,NMC532,2021,0.17
NCX,NMC622,2021,0.17
NCX,NMC811,2021,0.17
NCX,NMC900,2021,0
NCX,NMC900-Si,2021,0
NCX,LFP,2021,0.28
NCX,SIB,2021,0
NCX,ASSB (polymer),2021,0
NCX,ASSB (oxidic),2021,0
NCX,ASSB (sulfidic),2021,0
NCX,LSB,2021,0
NCX,LAB,2021,0
NCX,NCA,2022,0.20046252
NCX,NMC532,2022,0.161355662
NCX,NMC622,2022,0.163779904
NCX,NMC811,2022,0.176507177
NCX,NMC900,2022,0.015
NCX,NMC900-Si,2022,0.015
NCX,LFP,2022,0.267894737
NCX,SIB,2022,0
NCX,ASSB (polymer),2022,0
NCX,ASSB (oxidic),2022,0
NCX,ASSB (sulfidic),2022,0
NCX,LSB,2022,0
NCX,LAB,2022,0
