heat and power co-generation, natural gas, 50kW electrical, lean burn;electricity, low voltage;kilowatt hour;CH;331
treatment of municipal solid waste, incineration;electricity, for reuse in municipal waste incineration only;kilowatt hour;DK;332
transport, passenger car, large size, petrol, EURO 4;transport, passenger car, large size, petrol, EURO 4;kilometer;RER;333
clear-cutting, primary forest to arable land, perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-RS;334
rare earth oxides production, from rare earth carbonate concentrate;yttrium oxide;kilogram;RoW;335
market for tellurium, semiconductor-grade;tellurium, semiconductor-grade;kilogram;GLO;336
capacitor production, electrolyte type, > 2cm height;capacitor, electrolyte type, > 2cm height;kilogram;GLO;337
photovoltaic slanted-roof installation, 3kWp, a-Si, laminated, integrated, on roof;photovoltaic slanted-roof installation, 3kWp, a-Si, laminated, integrated, on roof;unit;RoW;338
market for heat and power co-generation unit, 160kW electrical, components for heat only;heat and power co-generation unit, 160kW electrical, components for heat only;unit;GLO;339
treatment of waste paint on wall, sorting plant;waste paint on wall;kilogram;CH;340
aircraft production, passenger aircraft, short haul;aircraft, passenger, short haul;unit;GLO;341
clear-cutting, secondary forest to arable land, perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;HN;342
treatment of hard coal ash, residual material landfill;hard coal ash;kilogram;IT;343
treatment of scrap printed wiring boards, shredding and separation;used printed wiring boards;kilogram;CA-QC;344
market for waste polyvinylchloride;waste polyvinylchloride;kilogram;PL;345
market for tin;tin;kilogram;GLO;346
market for xylene;xylene;kilogram;RER;347
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;CN-HN;348
market for tinplate, in mixed metal scrap;tinplate, in mixed metal scrap;kilogram;RoW;349
smelting of copper concentrate, sulfide ore;copper, anode;kilogram;IN;350
market for hard coal;hard coal;kilogram;ID;351
polyethylene, high density, granulate, recycled to generic market for high density PE granulate;polyethylene, high density, granulate;kilogram;RoW;352
barium sulfide production;barium sulfide;kilogram;GLO;353
transport, passenger car, medium size, petrol, EURO 3;transport, passenger car, medium size, petrol, EURO 3;kilometer;RER;354
water pump operation, diesel;water pump operation, diesel;megajoule;CO;355
calcium carbonate production, precipitated;calcium carbonate, precipitated;kilogram;RoW;356
trawler maintenance, steel;trawler maintenance, steel;kilogram;RoW;357
market for waste plastic, mixture;waste plastic, mixture;kilogram;ME;358
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;heat, district or industrial, natural gas;megajoule;SA;359
concrete block production;concrete block;kilogram;DE;360
treatment of municipal solid waste, incineration;heat, for reuse in municipal waste incineration only;megajoule;BE;361
market for furnace, wood chips, average storage area, 300kW;furnace, wood chips, average storage area, 300kW;unit;GLO;362
market for apricot;apricot;kilogram;GLO;363
market for NPK (26-15-15) fertiliser;NPK (26-15-15) fertiliser;kilogram;RoW;364
zinc coating, pieces, adjustment per micro-m;zinc coat, pieces, adjustment per micro-m;square meter;RER;365
heat and power co-generation unit construction, 500kW electrical, components for heat only;heat and power co-generation unit, 500kW electrical, components for heat only;unit;RER;366
treatment of high level radioactive waste for final repository;high level radioactive waste for final repository;cubic meter;RoW;367
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;CN-NX;368
containerboard production, fluting medium, semichemical;containerboard, fluting medium;kilogram;RoW;369
market for diesel, low-sulfur;diesel, low-sulfur;kilogram;Europe without Switzerland;370
electricity production, nuclear, boiling water reactor;electricity, high voltage;kilowatt hour;GB;371
planing, lath, hardwood, u=10%;sawnwood, lath, hardwood, dried (u=10%), planed;cubic meter;RoW;372
electricity production, hydro, pumped storage;electricity, high voltage;kilowatt hour;US-NPCC;373
grass production, permanent grassland, organic, intensive;grass, organic;kilogram;RoW;374
market for waste paperboard;waste paperboard;kilogram;BA;375
electricity production, oil;electricity, high voltage;kilowatt hour;CN-SH;376
land already in use, perennial cropland to annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;BR-MG;377
synthetic gas production, from wood, at fixed bed gasifier;synthetic gas;cubic meter;CH;378
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;TT;379
market for laser machining, metal, with YAG-laser, 500W power;laser machining, metal, with YAG-laser, 500W power;hour;GLO;380
suction, sawdust;sawdust, wet, measured as dry mass;kilogram;CA-QC;381
treatment of decommissioned road;decommissioned road;meter-year;RoW;382
dewatering of ethanol from biomass, from 95% to 99.7% solution state;ethanol, without water, in 99.7% solution state, from fermentation;kilogram;US;383
ethanol production from sweet sorghum;electricity, high voltage;kilowatt hour;CN;384
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;RoW;385
treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal;heat, district or industrial, other than natural gas;megajoule;CO;386
electricity production, wind, <1MW turbine, onshore;electricity, high voltage;kilowatt hour;FI;387
fuel cell production, solid oxide, 125kW electrical, future;fuel cell, solid oxide, 125kW electrical, future;unit;CH;388
polycarbonate production;polycarbonate;kilogram;RER;389
heat and power co-generation unit construction, 1MW electrical, components for electricity only;heat and power co-generation unit, 1MW electrical, components for electricity only;unit;RoW;390
casting, steel, lost-wax;casting, steel, lost-wax;kilogram;CA-QC;391
treatment of used toner module, laser printer, colour, recycling;toner module, laser printer, colour;unit;RoW;392
electricity voltage transformation from high to medium voltage, aluminium industry;electricity, medium voltage, aluminium industry;kilowatt hour;CN;393
process-specific burdens, municipal waste incineration;process-specific burdens, municipal waste incineration;kilogram;CH;394
heavy mineral sand quarry operation and titania slag production;pig iron;kilogram;RoW;395
market for building operation, luxury hotel;building operation, luxury hotel;guest night;GLO;396
market for inorganic potassium fertiliser, as K2O;inorganic potassium fertiliser, as K2O;kilogram;CR;397
wood preservative production, water-based, outdoor use, no ground contact;wood preservative, water-based, outdoor use, no ground contact;kilogram;GLO;398
gas boiler production;gas boiler;unit;RoW;399
synthetic fuel production, from coal, high temperature Fisher-Tropsch operations;heavy fuel oil;kilogram;ZA;400
bronze scrap, post-consumer, Recycled Content cut-off;bronze scrap, post-consumer;kilogram;GLO;401
treatment of blast furnace gas, in power plant;electricity, high voltage;kilowatt hour;CN-CQ;402
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;ID;403
market for adhesive, for metal;adhesive, for metal;kilogram;RER;404
clear-cutting, grassland to arable land, annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;BR-CE;405
barley production, Swiss integrated production, extensive;barley grain, Swiss integrated production;kilogram;CH;406
field leveling, sugarcane;field leveling, sugarcane;hectare;BR;407
rare earth oxides production, from rare earth carbonate concentrate;erbium oxide;kilogram;RoW;408
compressed air production, 1000 kPa gauge, <30kW, average generation;compressed air, 1000 kPa gauge;cubic meter;RER;409
market for polystyrene scrap, post-consumer;polystyrene scrap, post-consumer;kilogram;GLO;410
impact extrusion of steel, cold, deformation stroke;impact extrusion of steel, cold, deformation stroke;kilogram;RER;411
treatment, sludge from pulp and paper production, landfarming;soil pH raising agent, as CaCO3;kilogram;Europe without Switzerland;412
nutrient supply from single superphosphate;inorganic phosphorus fertiliser, as P2O5;kilogram;RoW;413
market for waste emulsion paint, separated;waste emulsion paint, separated;kilogram;GLO;414
market for quicklime, in pieces, loose;quicklime, in pieces, loose;kilogram;RoW;415
market for cement, blast furnace slag 18-30% and 18-30% other alternative constituents;cement, blast furnace slag 18-30% and 18-30% other alternative constituents;kilogram;CH;416
market for biomethane, medium pressure, vehicle grade;biomethane, medium pressure, vehicle grade;kilogram;CH;417
rare earth oxides production, from rare earth carbonate concentrate;ytterbium oxide;kilogram;CN-FJ;418
treatment of waste emulsion paint, hazardous waste incineration, with energy recovery;heat, for reuse in municipal waste incineration only;megajoule;RoW;419
market for used refrigeration machine, R134a as refrigerant;used refrigeration machine, R134a as refrigerant;unit;GLO;420
market for waste wood, untreated;waste wood, untreated;kilogram;CZ;421
stretch blow moulding;stretch blow moulding;kilogram;CA-QC;422
operation, computer, desktop, with liquid crystal display, office use;operation, computer, desktop, office use;hour;CH;423
treatment of waste emulsion paint on wall, sorting plant;waste emulsion paint, on wall;kilogram;CH;424
electricity production, hydro, reservoir, tropical region;electricity, high voltage;kilowatt hour;TH;425
field leveling, sugarcane;field leveling, sugarcane;hectare;RoW;426
propylene production;propylene;kilogram;RoW;427
market for natural gas, high pressure;natural gas, high pressure;cubic meter;GR;428
market for toner, colour, powder;toner, colour, powder;kilogram;GLO;429
sugarcane production;sugarcane;kilogram;BR-SP;430
treatment of used door, inner, glass-wood, collection for final disposal;used door, inner, glass-wood;square meter;CH;431
market for nitrile-compound;nitrile-compound;kilogram;GLO;432
market for irrigation;irrigation;cubic meter;MY;433
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;IR;434
wood preservation, oscillating pressure method, organic salt, Cr-free, outdoor use, ground contact;wood preservation, oscillating pressure method, organic salt, Cr-free, outdoor use, ground contact;kilogram;RoW;435
treatment of wastewater, average, capacity 1.6E8l/year;wastewater, average;cubic meter;CA-QC;436
mint production;mint;kilogram;IN;437
electricity production, hydro, reservoir, alpine region;electricity, high voltage;kilowatt hour;IN-RJ;438
yarn production, kenaf;yarn, kenaf;kilogram;IN;439
tower silo production, plastic;tower silo, plastic;cubic meter;CH;440
treatment of waste polyurethane, sanitary landfill;waste polyurethane;kilogram;RoW;441
