polycarbonate production;polycarbonate;kilogram;RoW;227
olive production;olive;kilogram;IT;228
treatment of waste bitumen sheet, municipal incineration;waste bitumen sheet;kilogram;RoW;229
market for waste glass;waste glass;kilogram;IE;230
barley production, organic;barley grain, organic;kilogram;RoW;231
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;KP;232
market for fish block, hake;fish block, hake;kilogram;GLO;233
market for inorganic potassium fertiliser, as K2O;inorganic potassium fertiliser, as K2O;kilogram;BA;234
pyridine-compound production;pyridine-compound;kilogram;RER;235
planing, board, hardwood, u=10%;sawnwood, board, hardwood, dried (u=10%), planed;cubic meter;CA-QC;236
inductor production, auxilliaries and energy use;inductor, auxilliaries and energy use;kilogram;GLO;237
stretch blow moulding;stretch blow moulding;kilogram;RoW;238
coking;coal gas;megajoule;RoW;239
market for inorganic nitrogen fertiliser, as N;inorganic nitrogen fertiliser, as N;kilogram;CI;240
market for sugar refinery;sugar refinery;unit;GLO;241
nutrient supply from potassium nitrate;inorganic potassium fertiliser, as K2O;kilogram;CN;242
market for diammonium phosphate;diammonium phosphate;kilogram;RoW;243
electronic component machinery production, unspecified;electronic component machinery, unspecified;unit;GLO;244
market for tap water;tap water;kilogram;IN;245
polyurethane production, rigid foam;polyurethane, rigid foam;kilogram;RER;246
laser machining, metal, with YAG-laser, 40W power;laser machining, metal, with YAG-laser, 40W power;hour;CA-QC;247
transport, freight, inland waterways, barge;transport, freight, inland waterways, barge;ton kilometer;RER;248
market for gravel, crushed;gravel, crushed;kilogram;IN;249
market for bus;bus;unit;GLO;250
heat production, light fuel oil, at industrial furnace 1MW;heat, district or industrial, other than natural gas;megajoule;CA-QC;251
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;IN-DL;252
market for waste cement in concrete and mortar;waste cement in concrete and mortar;kilogram;RoW;253
treatment of waste glass, municipal incineration;heat, for reuse in municipal waste incineration only;megajoule;RoW;254
silicon hydrochloration;silicon tetrahydride;kilogram;GLO;255
market for maintenance, intermodal shipping container, 40-foot;maintenance, intermodal shipping container, 40-foot;unit;GLO;256
board, hardwood, raw, air drying to u=20%;sawnwood, board, hardwood, raw, dried (u=20%);cubic meter;CA-QC;257
phosphoric acid production, dihydrate process;phosphoric acid, fertiliser grade, without water, in 70% solution state;kilogram;RER;258
electricity production, wind, <1MW turbine, onshore;electricity, high voltage;kilowatt hour;DE;259
market for lithium carbonate;lithium carbonate;kilogram;GLO;260
market for waste polyvinylfluoride;waste polyvinylfluoride;kilogram;CH;261
glued laminated timber production, average glue mix;glued laminated timber, for indoor use;cubic meter;CA-QC;262
hot water tank production, 600l;hot water tank, 600l;unit;CH;263
market for ash from paper production sludge;ash from paper production sludge;kilogram;Europe without Switzerland;264
transport, freight, lorry 16-32 metric ton, EURO4;transport, freight, lorry 16-32 metric ton, EURO4;ton kilometer;RER;265
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;heat, district or industrial, natural gas;megajoule;TW;266
energy requirement for assembly of heat and power co-generation unit, 160kW electrical;energy requirement for assembly of heat and power co-generation unit, 160kW electrical;unit;RoW;267
market for stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;stirling heat and power co-generation unit, 3kW electrical, future;unit;GLO;268
electricity production, hydro, pumped storage;electricity, high voltage;kilowatt hour;IT;269
mowing, by rotary mower;mowing, by rotary mower;hectare;RoW;270
market for waste packaging paper;waste packaging paper;kilogram;CO;271
rare earth oxides production, from rare earth carbonate concentrate;europium oxide;kilogram;RoW;272
sawing, hardwood;sawdust, loose, wet, measured as dry mass;kilogram;RoW;273
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;SE;274
land already in use, perennial cropland to pasture, man made;land tenure, arable land, measured as carbon net primary productivity, pasture, man made;kilogram;BR-AP;275
treatment of coal gas, in power plant;heat, district or industrial, other than natural gas;megajoule;TW;276
market for waste polyethylene;waste polyethylene;kilogram;GR;277
naphtha production, petroleum refinery operation;naphtha;kilogram;CO;278
treatment of residue from mechanical treatment, desktop computer, municipal incineration with fly ash extraction;electricity, for reuse in municipal waste incineration only;kilowatt hour;CH;279
market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made;land tenure, arable land, measured as carbon net primary productivity, pasture, man made;kilogram;BR-SC;280
