ISO2,PLANT_FUEL,NET_ELECTRICITY_GENERATION_MWH,FUEL_INPUT_LHV_MJ,NET_ELECTRICAL_EFFICIENCY,CHP_PLANT,PLANT_EMISSION_CO2_KG,PLANT_EMISSION_CH4_KG,PLANT_EMISSION_SO2_KG,PLANT_EMISSION_NOX_KG,PLANT_EMISSION_PM_2.5_KG,PLANT_EMISSION_PM_10_TO_2.5_KG,PLANT_EMISSION_PM_GR_10_KG,PLANT_EMISSION_HG_0_KG,PLANT_EMISSION_HG_2P_KG,PLANT_EMISSION_HG_P_KG
PL,Bituminous coal,19260.83499,303937300.3,0.228135888,TRUE,29728525.12,NA,77163.6953,49019.44895,1582.828359,1604.367751,1379.638731,0.704170655,0.450247639,0.001363759
PL,Bituminous coal,116725.3065,1502066948,0.279755243,TRUE,146919232.8,NA,381345.2188,242255.5375,7822.383629,7928.831931,6818.2146,3.48003179,2.225136883,0.006739738
PL,Bituminous coal,959433.8523,9734803387,0.354805509,FALSE,952174500.3,NA,2471474.878,1570043.22,72328.65083,29754.0072,10217.20172,21.65695294,3.301138717,0.00065154
PL,Bituminous coal,868265.9297,8809776821,0.354805509,FALSE,861696380.3,NA,2236628.849,1420853.593,65455.7926,26926.70335,9246.3364,19.59905243,2.987455852,0.000589629
PL,Bituminous coal,981140.5006,9955047808,0.354805509,FALSE,973716909.8,NA,2527390.6,1605564.56,73965.04564,30427.17478,10448.36013,22.14692925,3.375825113,0.00066628
US,Bituminous coal,524198.0966,5957443589,0.316765592,FALSE,536831893,NA,3086760.884,617633.2413,73089.52179,74084.13621,63706.92979,12.22373608,3.786609985,0.018031105
US,Bituminous coal,476543.7241,5415857808,0.316765592,FALSE,488028993.6,NA,2806146.258,561484.7648,66445.01981,67349.21473,57915.39072,11.11248735,3.442372714,0.016391913
US,Bituminous coal,2454200.179,27891667712,0.316765592,FALSE,2513349317,NA,14451653.23,2891646.539,342191.852,346848.4559,298264.2622,57.22930983,17.72821947,0.084418353
CA,Coal blend,288996.8244,3871132137,0.268755633,FALSE,451833176,NA,2329084.886,1182260.87,4988.124224,12398.70807,105156.7205,12.94983864,2.712900819,0.005997605
CA,Coal blend,288996.8244,3871132137,0.268755633,FALSE,451833176,NA,2329084.886,1182260.87,4988.124224,12398.70807,105156.7205,12.94983864,2.712900819,0.005997605
CA,Coal blend,708872.6381,8798027584,0.290058365,FALSE,1026893582,NA,5293374.741,2686956.522,11336.64596,28178.88199,238992.5466,29.43145145,6.165683679,0.01363092
CA,Coal blend,708872.6381,8798027584,0.290058365,FALSE,1026893582,NA,5293374.741,2686956.522,11336.64596,28178.88199,238992.5466,29.43145145,6.165683679,0.01363092
CA,Coal blend,1382301.644,17156153788,0.290058365,FALSE,2002442484,NA,10322080.75,5239565.217,22106.45963,54948.81988,466035.4658,57.39133032,12.02308317,0.026580295
US,Bituminous coal,2341016,24315250492,0.346599662,FALSE,2191071134,NA,10509045.29,1061115.8,193211.8288,195841.0876,168408.9882,26.31167178,6.296338461,0.050613759
ES,Coal blend,186267.114,2405322179,0.27878245,FALSE,223568712.8,NA,106294.1176,372521.0084,15481.39113,15692.06448,13494.02587,3.076731123,1.321496028,0.007146587
ES,Coal blend,475697.5526,5266035963,0.325199296,FALSE,489464942.4,NA,271458.8235,951361.3445,33893.82227,34355.05506,29542.83053,6.735969462,2.893186481,0.015646213
ES,Coal blend,1043095.838,11212739423,0.334899874,FALSE,1042196235,NA,595247.0588,2086117.647,33224.21508,13667.5235,4693.278579,13.76921937,1.40986827,0.000496824
US,Bituminous coal,212114.9278,2714646802,0.281293957,FALSE,239301110.1,NA,372308.4138,242989.4219,6678.142741,2747.203286,943.3596609,0.69855072,0.258141781,5.93E-05
US,Bituminous coal,829176.5361,10611801136,0.281293957,FALSE,935449793.8,NA,1455387.436,949867.7401,26105.46708,10739.06739,3687.678674,2.730698269,1.00909969,0.000231748
