Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2090,0.030295351846200004
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2095,0.0302015952434
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,NutsSeeds,biomass,2100,0.029967857878599995
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,1975,0.000114829444827
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,1990,0.000372157486098
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2005,0.0023277889865399998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2010,0.00243490615206
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2015,0.00222387495686
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2021,0.00204578259558
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2025,0.00192897922277
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2030,0.00195216983309
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2035,0.00210870956518
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2040,0.00234656455159
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2045,0.00262992278961
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2050,0.003034239359167
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2055,0.003648609157285
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2060,0.00499766214694
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2065,0.006507855245498
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2070,0.007994571370129
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2075,0.00924694185334
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2080,0.009653021994545
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2085,0.009963152046205
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2090,0.010136838227727
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2095,0.010216558930553
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilCrop,biomass,2100,0.01023499186334
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,1975,9.84948966e-05
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,1990,0.001218211414
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2005,0.003664353431
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2010,0.004997018813
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2015,0.005887508489
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2021,0.01097510123
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2025,0.008052195784
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2030,0.00812709716
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2035,0.008120839748
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2040,0.008153237253
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2045,0.008409412983
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2050,0.009002020899
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2055,0.01094429947
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2060,0.01520931069
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2065,0.02011559487
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2070,0.024979171350000003
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2075,0.0294105936
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2080,0.03159425868
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2085,0.03264729452
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2090,0.0330335713
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2095,0.03298383999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OilPalm,biomass,2100,0.03269310487
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,1975,0.000529298052057
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,1990,0.000955419905009
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2005,0.00657424983611
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2010,0.007308917838890001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2015,0.00802546153761
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2021,0.0131827519273
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2025,0.01108105271737
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2030,0.01068996424354
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2035,0.01075799697844
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2040,0.01094463097727
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2045,0.01148580989172
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2050,0.01236365009914
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2055,0.014209852967529999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2060,0.01863816827208
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2065,0.023390621735430002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2070,0.0277313505108
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2075,0.03101441145507
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2080,0.03129463956582
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2085,0.03170500105351
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2090,0.0315422805182
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2095,0.03120402012
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,OtherGrain,biomass,2100,0.0309222684476
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,1975,0.01693595575
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,1990,0.02822536096
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2005,0.05034652156
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2010,0.0570464317
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2015,0.052767525009999997
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2021,0.05075105737
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2025,0.04402145959
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2030,0.04234194706
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2035,0.04163404917
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2040,0.04218379854
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2045,0.04334674795
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2050,0.04605809605
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2055,0.05452795201
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2060,0.0736015376
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2065,0.09460494659999999
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2070,0.1146309004
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2075,0.131092076
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2080,0.1353085054
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2085,0.1375226778
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Rice,biomass,2090,0.1377573932
