Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2060,0.8160244864
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2065,0.8917401644
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2070,0.9794903049
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2075,1.0858253484
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2080,1.2791614214
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2085,1.4148988921
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2090,1.5288703992000001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2095,1.6096870975
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Mexico,biomass,2100,1.6686961495000001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2025,0.0010707024226
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2030,0.0030559397438
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2035,0.0064559336122
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2040,0.013985887921
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2045,0.032336833585
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2050,0.084027638778
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2055,0.16886230325
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2060,0.268429310255
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2065,0.37251482929
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2070,0.48875671474
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2075,0.6166629021158
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2080,0.7964373196785001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Middle East,biomass,2085,0.9094138649515
