Units,scenario,region,Year,account,value
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2090,gdp-per-capita-ppp,73.1401
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2095,gdp-per-capita-ppp,76.6503
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,2100,gdp-per-capita-ppp,80.1034
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,1975,gdp-per-capita-ppp,5.0144
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,1990,gdp-per-capita-ppp,5.98819
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2005,gdp-per-capita-ppp,7.1255
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2010,gdp-per-capita-ppp,8.43663
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2015,gdp-per-capita-ppp,8.54294
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2021,gdp-per-capita-ppp,8.24532
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2025,gdp-per-capita-ppp,9.10655
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2030,gdp-per-capita-ppp,9.69133
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2035,gdp-per-capita-ppp,10.8556
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2040,gdp-per-capita-ppp,12.4579
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2045,gdp-per-capita-ppp,14.4815
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2050,gdp-per-capita-ppp,16.8926
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2055,gdp-per-capita-ppp,19.6645
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2060,gdp-per-capita-ppp,22.7619
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2065,gdp-per-capita-ppp,26.2269
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2070,gdp-per-capita-ppp,29.9958
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2075,gdp-per-capita-ppp,34.0932
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2080,gdp-per-capita-ppp,38.4725
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,2085,gdp-per-capita-ppp,43.1276
