Units,scenario,region,sector,subsector,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2060,6.82992e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2065,3.06034e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2070,1.42479e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2075,7.6943e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2080,4.43191e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2085,2.77559e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2090,1.76466e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2095,1.09562e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,coal,delivered coal,2100,6.69318e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,1975,0.307004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,1990,0.0922175
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2005,0.177988
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2010,0.14417
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2015,0.113527
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2021,0.108337
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2025,0.27841
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2030,0.317435
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2035,0.329577
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2040,0.169996
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2045,0.114324
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2050,0.0535463
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2055,0.0244206
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2060,0.0101755
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2065,0.00466977
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2070,0.00222647
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2075,0.00123758
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2080,0.000719885
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2085,0.000454418
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2090,0.000291907
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2095,0.00018281
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,gas,wholesale gas,2100,0.000112573
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Europe_Non_EU,district heat,refined liquids,refined liquids industrial,1975,0.0195598
