Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2030,0.0009922887
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2035,0.0007894301000000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2040,0.0009028034
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2045,0.0008677919
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2050,0.0008332193
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2055,0.0009338095
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2060,0.0009675853
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2065,0.0008355894999999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2070,0.000689385
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2075,0.0005279309
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2080,0.00041053475
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2085,0.00034952374
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2090,0.00029152842
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2095,0.00023174823000000002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OilPalm,biomass,2100,0.00019530323
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,1975,0.004142885233
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,1990,0.0092156159933
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2005,0.0230404086639
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2010,0.043129557464
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2015,0.082132133757
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2021,0.09952190006
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2025,0.106618658048
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2030,0.112645365716
