Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Coal|w/o CCS,NA,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482,1183.976482
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Gas|w/ CCS,NA,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Gas|w/o CCS,NA,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108,517.9897108
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Solar|CSP,NA,9026.756808,7178.613503,5330.470198,4855.219945,3015.445421,1872.884916,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Solar|PV,NA,4412.256087,2968.892143,1525.5282,755.7130993,510.4209103,358.1519116,250,250,250,250,250,250,250,250,250,250,250,250,250,250
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Wind,NA,2222.866167,2042.263145,1630.593704,1141.581151,832.4834341,654.3989375,553.2448686,500.8989403,500.7629176,500.5662439,500.4776812,500.5314299,500.389836,500.3583672,500.3051573,500.2888817,500.2879023,500.3532318,500.2490145,500.2550155
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Wind|Offshore,NA,2400.66197,3807.982681,3753.935519,2722.720267,2407.867423,2187.354892,2044.479808,1957.075153,1888.840133,1834.039986,1791.224184,1755.347474,1726.566673,1700.87768,1675.316651,1653.604665,1633.645173,1615.631841,1599.498144,1584.405872
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|Wind|Onshore,NA,2220.974339,2037.517473,1626.876255,1130.702854,830.2951297,653.1910617,552.0225476,500,500,500,500,500,500,500,500,500,500,500,500,500
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|gas,NA,517.9897108,517.9897108,517.9897108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|nuclear,NA,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1,3807.1
WITCH 5.0,ssp2_bau,brazil,Capital cost|electricity|solar,NA,7108.920366,3222.083397,1534.304937,1031.132504,865.5682537,638.000487,588.8400343,557.1535693,541.0917881,542.8003433,545.775312,552.9371754,552.3300258,533.7536274,557.4071389,556.5437467,559.7922743,568.9302085,583.5462499,569.7373581
WITCH 5.0,ssp2_bau,brazil,Carbon Capture|Biomass,NA,7.28E-05,5.89E-05,4.78E-05,4.41E-05,3.48E-05,2.74E-05,2.16E-05,1.70E-05,1.34E-05,1.06E-05,8.37E-06,6.60E-06,5.21E-06,4.11E-06,3.24E-06,2.56E-06,2.02E-06,1.59E-06,1.26E-06,9.93E-07
